Testing cpu: 
time: 107.129 s
Testing gpu 1 stream: 
time: 0.089 s
Testing gpu 1000 streams: 
time: 65.443 s
--------------------------------
Prueba de agentes
n_agents	t_cpu	t_gpu	t_gpu_streams (5000 mcs)
--------------------------------
10,	0.426,	0.025,	29.298	
30,	0.511,	0.039,	47.570	
50,	0.888,	0.044,	48.551	
100,	1.246,	0.045,	50.744	
300,	3.684,	0.074,	53.244	
500,	5.716,	0.075,	54.034	
1000,	11.128,	0.079,	54.771	
3000,	31.532,	0.119,	56.499	
5000,	53.966,	0.122,	59.526	
10000,	106.787,	0.124,	66.713	
30000,	315.816,	0.193,	113.970	
50000,	524.389,	0.238,	164.117	
100000,	1039.043,	0.338,	251.521	
--------------------------------
Prueba de mcs
MCS	t_cpu	t_gpu	t_gpu_streams (10000 agents)
--------------------------------
10,	0.437,	0.010,	7.837
30,	1.167,	0.008,	7.883
100,	3.506,	0.010,	8.690
300,	9.095,	0.014,	11.522
500,	14.013,	0.017,	14.157
1000,	25.130,	0.065,	20.239
3000,	66.318,	0.094,	43.673
5000,	107.230,	0.133,	66.598
10000,	207.581,	0.214,	122.503
30000,	552.785,	0.426,	339.161
50000,	910.210,	0.650,	550.127
