Testing cpu: 
time: 96.719 s
Testing gpu 1 stream: 
time: 0.114 s
Testing gpu 1000 streams: 
time: 82.870 s
--------------------------------
Prueba de configuraciones
tpb	bpg	t_gpu	t_gpu_streams (10000 agents, 5000 mcs)
--------------------------------
32,	64,	0.134,	131.077
32,	128,	0.102,	102.011
32,	256,	0.082,	81.752
32,	512,	0.065,	65.068
32,	1024,	0.065,	65.057
64,	64,	0.110,	107.861
64,	128,	0.086,	86.003
64,	256,	0.068,	68.018
64,	512,	0.070,	69.696
64,	1024,	0.070,	69.607
128,	64,	0.095,	93.970
128,	128,	0.075,	73.645
128,	256,	0.078,	76.947
128,	512,	0.077,	76.675
128,	1024,	0.077,	76.942
256,	64,	0.084,	83.365
256,	128,	0.084,	83.269
256,	256,	0.105,	104.325
256,	512,	0.105,	104.257
256,	1024,	0.105,	104.178
512,	64,	0.121,	120.947
512,	128,	0.120,	120.870
512,	256,	0.172,	172.459
512,	512,	0.174,	173.432
512,	1024,	0.172,	172.124
1024,	64,	0.216,	216.796
1024,	128,	0.218,	217.098
1024,	256,	0.217,	217.102
1024,	512,	0.216,	216.309
1024,	1024,	0.217,	216.173
--------------------------------
Prueba de agentes
n_agents	t_cpu	t_gpu	t_gpu_streams (5000 mcs)
--------------------------------
10,	0.333,	0.034,	29.181	
100,	1.314,	0.052,	50.018	
500,	4.733,	0.074,	53.519	
1000,	10.309,	0.077,	54.213	
5000,	46.841,	0.126,	58.704	
10000,	91.214,	0.159,	82.575	
--------------------------------
Prueba de mcs
MCS	t_cpu	t_gpu	t_gpu_streams (10000 agents)
--------------------------------
100,	3.107,	0.009,	8.796
500,	12.556,	0.019,	15.482
1000,	21.473,	0.078,	23.360
5000,	93.099,	0.157,	83.010
10000,	175.493,	0.262,	154.842
50000,	786.692,	0.792,	708.878
